months_as_customer,policy_deductable,policy_annual_premium,umbrella_limit,incident_type,collision_type,incident_severity,authorities_contacted,property_damage,total_claim_amount,fraud_reported,injury_share,vehicle_share,property_share,claim_to_premium,claim_to_deductible,has_umbrella_policy
328,1000,1406.91,0,Single Vehicle Collision,Side Collision,Major Damage,Police,YES,71610,1,0.09090909090909091,0.7272727272727273,0.18181818181818182,50.89877817344393,71.61,0
228,2000,1197.22,5000000,Vehicle Theft,No Collision,Minor Damage,Police,Not recorded,5070,1,0.15384615384615385,0.6923076923076923,0.15384615384615385,4.234810644660129,2.535,1
134,2000,1413.14,5000000,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,NO,34650,0,0.2222222222222222,0.6666666666666666,0.1111111111111111,24.51986356624255,17.325,1
256,2000,1415.74,6000000,Single Vehicle Collision,Front Collision,Major Damage,Police,Not recorded,63400,1,0.1,0.8,0.1,44.782234026021726,31.7,1
228,1000,1583.91,6000000,Vehicle Theft,No Collision,Minor Damage,Police,NO,6500,0,0.2,0.7,0.1,4.1037685222013875,6.5,1
256,1000,1351.1,0,Multi-vehicle Collision,Rear Collision,Major Damage,Fire,NO,64100,1,0.1,0.8,0.1,47.44282436533196,64.1,0
137,1000,1333.35,0,Multi-vehicle Collision,Front Collision,Minor Damage,Police,Not recorded,78650,0,0.2727272727272727,0.6363636363636364,0.09090909090909091,58.986762665466685,78.65,0
165,1000,1137.03,0,Multi-vehicle Collision,Front Collision,Total Loss,Police,Not recorded,51590,0,0.18181818181818182,0.6363636363636364,0.18181818181818182,45.37259351116506,51.59,0
27,500,1442.99,0,Single Vehicle Collision,Front Collision,Total Loss,Police,NO,27700,0,0.1,0.8,0.1,19.196252226280155,55.4,0
212,500,1315.68,0,Single Vehicle Collision,Rear Collision,Total Loss,Other,NO,42300,0,0.1111111111111111,0.7777777777777778,0.1111111111111111,32.15067493615469,84.6,0
235,500,1253.12,4000000,Single Vehicle Collision,Front Collision,Total Loss,Police,YES,87010,0,0.09090909090909091,0.7272727272727273,0.18181818181818182,69.43469101123596,174.02,1
447,2000,1137.16,0,Multi-vehicle Collision,Front Collision,Major Damage,Fire,YES,114920,0,0.15384615384615385,0.6923076923076923,0.15384615384615385,101.05877800837173,57.46,0
60,500,1215.36,3000000,Single Vehicle Collision,Rear Collision,Total Loss,Ambulance,YES,56520,0,0.08333333333333333,0.75,0.16666666666666666,46.5047393364929,113.04,1
121,1000,936.61,0,Parked Car,No Collision,Minor Damage,Police,NO,7280,0,0.15384615384615385,0.6923076923076923,0.15384615384615385,7.772712228141916,7.28,0
180,2000,1301.13,0,Single Vehicle Collision,Rear Collision,Total Loss,Police,NO,46200,1,0.09090909090909091,0.7272727272727273,0.18181818181818182,35.50759724239699,23.1,0
473,2000,1131.4,0,Multi-vehicle Collision,Side Collision,Major Damage,Other,YES,63120,1,0.16666666666666666,0.6666666666666666,0.16666666666666666,55.78928760827293,31.56,0
70,1000,1199.44,5000000,Multi-vehicle Collision,Rear Collision,Major Damage,Other,Not recorded,52110,0,0.1111111111111111,0.7777777777777778,0.1111111111111111,43.44527446141532,52.11,1
140,500,708.64,6000000,Single Vehicle Collision,Side Collision,Total Loss,Police,NO,77880,0,0.18181818181818182,0.7272727272727273,0.09090909090909091,109.90065477534432,155.76,1
160,500,1374.22,0,Single Vehicle Collision,Side Collision,Total Loss,Other,YES,72930,0,0.09090909090909091,0.7272727272727273,0.18181818181818182,53.070105223326685,145.86,0
196,2000,1475.73,0,Multi-vehicle Collision,Side Collision,Major Damage,Police,Not recorded,60400,0,0.1,0.8,0.1,40.928896207300795,30.2,0
460,1000,1187.96,4000000,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,NO,47160,0,0.0,0.8888888888888888,0.1111111111111111,39.698306340280816,47.16,1
217,2000,875.15,0,Multi-vehicle Collision,Side Collision,Total Loss,Police,Not recorded,37840,0,0.0,0.875,0.125,43.23830200537051,18.92,0
370,2000,972.18,0,Multi-vehicle Collision,Rear Collision,Major Damage,Ambulance,NO,71520,1,0.25,0.6666666666666666,0.08333333333333333,73.56662346479048,35.76,0
413,2000,1268.79,0,Single Vehicle Collision,Front Collision,Total Loss,Ambulance,Not recorded,98160,1,0.08333333333333333,0.75,0.16666666666666666,77.36504858960112,49.08,0
237,1000,883.31,0,Single Vehicle Collision,Rear Collision,Minor Damage,Other,NO,77880,0,0.09090909090909091,0.7272727272727273,0.18181818181818182,88.16836671157351,77.88,0
8,2000,1266.92,0,Multi-vehicle Collision,Rear Collision,Major Damage,Other,NO,71500,1,0.23076923076923078,0.6153846153846154,0.15384615384615385,56.436081204811664,35.75,0
257,2000,1322.1,0,Parked Car,No Collision,Minor Damage,Police,YES,9020,0,0.18181818181818182,0.7272727272727273,0.09090909090909091,6.822479388851071,4.51,0
202,500,848.07,3000000,Vehicle Theft,No Collision,Minor Damage,Police,YES,5720,1,0.18181818181818182,0.7272727272727273,0.09090909090909091,6.744726260803943,11.44,1
224,2000,1291.7,0,Single Vehicle Collision,Side Collision,Minor Damage,Other,NO,69840,0,0.1111111111111111,0.6666666666666666,0.2222222222222222,54.068282108848805,34.92,0
241,2000,1104.5,0,Single Vehicle Collision,Rear Collision,Minor Damage,Police,NO,91650,0,0.15384615384615385,0.6923076923076923,0.15384615384615385,82.97872340425532,45.825,0
64,1000,954.16,0,Multi-vehicle Collision,Side Collision,Major Damage,Ambulance,NO,75600,0,0.16666666666666666,0.6666666666666666,0.16666666666666666,79.23199463402365,75.6,0
166,2000,1337.28,8000000,Multi-vehicle Collision,Side Collision,Major Damage,Police,NO,67140,1,0.1111111111111111,0.7777777777777778,0.1111111111111111,50.206389088298636,33.57,1
155,1000,1088.34,0,Multi-vehicle Collision,Front Collision,Total Loss,Police,YES,29790,0,0.1111111111111111,0.7777777777777778,0.1111111111111111,27.37196096807983,29.79,0
114,1000,1558.29,0,Multi-vehicle Collision,Front Collision,Major Damage,Ambulance,NO,77110,0,0.18181818181818182,0.6363636363636364,0.18181818181818182,49.48372895930796,77.11,0
149,500,1415.68,0,Single Vehicle Collision,Side Collision,Total Loss,Fire,YES,64800,0,0.16666666666666666,0.75,0.08333333333333333,45.773056057866185,129.6,0
147,1000,1334.15,6000000,Single Vehicle Collision,Front Collision,Major Damage,Other,YES,53100,1,0.2,0.7,0.1,39.80062211895214,53.1,1
62,1000,988.45,0,Single Vehicle Collision,Rear Collision,Total Loss,Police,Not recorded,60200,1,0.1,0.8,0.1,60.90343467044362,60.2,0
289,2000,1222.48,0,Parked Car,No Collision,Minor Damage,Police,NO,5330,0,0.23076923076923078,0.6153846153846154,0.15384615384615385,4.359989529481055,2.665,0
431,2000,1155.55,0,Multi-vehicle Collision,Rear Collision,Major Damage,Police,Not recorded,62300,0,0.2,0.7,0.1,53.91372073904202,31.15,0
199,500,1262.08,0,Single Vehicle Collision,Front Collision,Major Damage,Ambulance,Not recorded,60170,1,0.18181818181818182,0.6363636363636364,0.18181818181818182,47.67526622718053,120.34,0
79,500,1451.62,0,Single Vehicle Collision,Rear Collision,Minor Damage,Ambulance,NO,40000,0,0.2,0.7,0.1,27.555420840164782,80.0,0
116,500,1737.66,0,Single Vehicle Collision,Side Collision,Major Damage,Police,Not recorded,97080,1,0.16666666666666666,0.6666666666666666,0.16666666666666666,55.86823659404026,194.16,0
37,500,1475.93,0,Multi-vehicle Collision,Side Collision,Minor Damage,Other,YES,51660,0,0.1111111111111111,0.7777777777777778,0.1111111111111111,35.00165997032379,103.32,0
106,500,538.17,0,Single Vehicle Collision,Rear Collision,Total Loss,Other,NO,51120,0,0.1111111111111111,0.7777777777777778,0.1111111111111111,94.98857238419087,102.24,0
269,2000,1081.08,0,Single Vehicle Collision,Front Collision,Minor Damage,Other,YES,56400,0,0.2,0.6,0.2,52.17005217005217,28.2,0
265,1000,1454.43,0,Multi-vehicle Collision,Rear Collision,Total Loss,Other,NO,55120,0,0.125,0.875,0.0,37.89800815439725,55.12,0
163,500,1240.47,0,Multi-vehicle Collision,Rear Collision,Total Loss,Fire,YES,77110,0,0.0,0.8181818181818182,0.18181818181818182,62.16192249711803,154.22,0
355,2000,1273.7,4000000,Multi-vehicle Collision,Front Collision,Major Damage,Fire,NO,62800,1,0.1,0.8,0.1,49.305173902802856,31.4,1
175,1000,1123.87,8000000,Vehicle Theft,No Collision,Trivial Damage,Police,Not recorded,7290,0,0.1111111111111111,0.7777777777777778,0.1111111111111111,6.486515344301388,7.29,1
192,1000,1245.89,0,Single Vehicle Collision,Rear Collision,Total Loss,Other,NO,76600,0,0.2,0.7,0.1,61.48215332011654,76.6,0
430,2000,1326.62,7000000,Multi-vehicle Collision,Front Collision,Minor Damage,Fire,Not recorded,81800,0,0.2,0.7,0.1,61.66046041820567,40.9,1
91,2000,1073.83,0,Vehicle Theft,No Collision,Trivial Damage,Police,Not recorded,7260,0,0.18181818181818182,0.7272727272727273,0.09090909090909091,6.760846688954491,3.63,0
217,1000,1530.52,0,Vehicle Theft,No Collision,Minor Damage,Police,Not recorded,4300,0,0.1,0.8,0.1,2.8095026526932023,4.3,0
223,500,1201.41,0,Multi-vehicle Collision,Side Collision,Major Damage,Police,YES,70510,0,0.18181818181818182,0.6363636363636364,0.18181818181818182,58.6893733196827,141.02,0
195,1000,1393.57,0,Parked Car,No Collision,Minor Damage,Police,NO,2640,0,0.18181818181818182,0.6363636363636364,0.18181818181818182,1.8944150634700805,2.64,0
22,1000,1276.57,0,Single Vehicle Collision,Rear Collision,Minor Damage,Fire,YES,78900,0,0.2,0.7,0.1,61.80624642596959,78.9,0
439,500,1082.49,0,Multi-vehicle Collision,Front Collision,Major Damage,Fire,Not recorded,56430,0,0.0,0.8888888888888888,0.1111111111111111,52.12981182274201,112.86,0
94,1000,1414.74,0,Parked Car,No Collision,Minor Damage,Police,NO,2400,0,0.125,0.75,0.125,1.6964247847661054,2.4,0
11,2000,1470.06,0,Single Vehicle Collision,Front Collision,Total Loss,Ambulance,YES,65790,0,0.1111111111111111,0.7777777777777778,0.1111111111111111,44.75327537651525,32.895,0
151,2000,870.63,0,Multi-vehicle Collision,Side Collision,Minor Damage,Police,NO,62920,0,0.18181818181818182,0.7272727272727273,0.09090909090909091,72.26950598991534,31.46,0
154,500,795.23,0,Multi-vehicle Collision,Rear Collision,Major Damage,Police,YES,69480,1,0.2222222222222222,0.7777777777777778,0.0,87.37094928511249,138.96,0
245,1000,1168.2,0,Multi-vehicle Collision,Side Collision,Total Loss,Other,NO,44280,0,0.16666666666666666,0.75,0.08333333333333333,37.90446841294299,44.28,0
119,1000,993.51,0,Single Vehicle Collision,Side Collision,Minor Damage,Other,NO,56300,0,0.1,0.7,0.2,56.66777385230144,56.3,0
215,500,1848.81,0,Multi-vehicle Collision,Front Collision,Major Damage,Fire,YES,68520,1,0.16666666666666666,0.75,0.08333333333333333,37.06167751148036,137.04,0
295,2000,1641.73,5000000,Multi-vehicle Collision,Rear Collision,Total Loss,Fire,NO,59130,1,0.1111111111111111,0.7777777777777778,0.1111111111111111,36.01688462780116,29.565,1
254,500,1362.87,0,Multi-vehicle Collision,Front Collision,Minor Damage,Ambulance,YES,82320,1,0.16666666666666666,0.75,0.08333333333333333,60.401945893592206,164.64,0
107,500,1239.22,7000000,Single Vehicle Collision,Side Collision,Minor Damage,Fire,YES,89700,1,0.15384615384615385,0.6923076923076923,0.15384615384615385,72.38424170042445,179.4,1
478,500,835.02,0,Multi-vehicle Collision,Side Collision,Minor Damage,Fire,NO,33930,0,0.0,0.8888888888888888,0.1111111111111111,40.633757275274846,67.86,0
128,1000,1061.33,0,Single Vehicle Collision,Front Collision,Major Damage,Ambulance,NO,68530,0,0.18181818181818182,0.7272727272727273,0.09090909090909091,64.56992641308547,68.53,0
338,1000,1279.08,0,Parked Car,No Collision,Minor Damage,Police,NO,4300,0,0.2,0.6,0.2,3.361791287487882,4.3,0
271,500,1105.49,0,Multi-vehicle Collision,Side Collision,Major Damage,Other,Not recorded,68310,1,0.18181818181818182,0.7272727272727273,0.09090909090909091,61.79160372323585,136.62,0
222,2000,1055.53,0,Single Vehicle Collision,Front Collision,Total Loss,Other,NO,61290,1,0.1111111111111111,0.7777777777777778,0.1111111111111111,58.065616325447884,30.645,0
199,1000,895.83,0,Single Vehicle Collision,Rear Collision,Minor Damage,Ambulance,NO,30100,0,0.1,0.9,0.0,33.60012502372102,30.1,0
215,500,1632.93,0,Multi-vehicle Collision,Rear Collision,Minor Damage,Fire,NO,57120,0,0.16666666666666666,0.75,0.08333333333333333,34.98006650621888,114.24,0
192,1000,1405.99,0,Multi-vehicle Collision,Side Collision,Minor Damage,Ambulance,YES,42930,0,0.2222222222222222,0.6666666666666666,0.1111111111111111,30.533645331759118,42.93,0
120,1000,1425.54,0,Multi-vehicle Collision,Front Collision,Total Loss,Ambulance,NO,51210,0,0.2222222222222222,0.6666666666666666,0.1111111111111111,35.92322909213351,51.21,0
