iter	PRAUC	Logloss
0	0.8310570666	0.6831299133
1	0.810307578	0.6737679023
2	0.7914443219	0.6655567015
3	0.7906451656	0.6578772409
4	0.7895141329	0.649573863
5	0.8129814959	0.6424552479
6	0.8146350869	0.6355874421
7	0.8146776392	0.6289378951
8	0.8179331946	0.6231754082
9	0.8195882189	0.6183289049
10	0.820321527	0.613407342
11	0.8207981768	0.6090683756
12	0.8212818961	0.6036999825
13	0.8202044298	0.598715689
14	0.8165431127	0.5939734642
15	0.8225366738	0.5903118194
16	0.8218391276	0.5876319231
17	0.8218391276	0.5837527786
18	0.8256468631	0.5799202853
19	0.8257471637	0.5765140966
20	0.8257175402	0.5734713156
21	0.8238484125	0.5713374228
22	0.8247461218	0.5684346787
23	0.8244287186	0.5656509216
24	0.8299827311	0.5626333021
25	0.8299493539	0.5601488029
26	0.8314340357	0.5577952196
27	0.8314700241	0.5555820972
28	0.8314700241	0.5535100745
29	0.833105132	0.5516153226
30	0.8375842855	0.5493070631
31	0.8374201931	0.5471142411
32	0.8374201931	0.5454540738
33	0.8380206161	0.5434751689
34	0.839214216	0.5417652002
35	0.8401552233	0.5400022197
36	0.8414246296	0.5387312879
37	0.8454324739	0.5365846691
38	0.8458432266	0.5343516779
39	0.8456467024	0.5331397071
40	0.8454105253	0.5320732792
41	0.8449574564	0.5311642082
42	0.844784039	0.5302103784
43	0.8446781114	0.5293224118
44	0.8441283231	0.528880972
45	0.8464822361	0.5277705741
46	0.8469083234	0.526841454
47	0.8467431673	0.5261102229
48	0.8477771388	0.5247864102
49	0.8477771388	0.5240567619
50	0.8485121648	0.5230559974
