iter	Passed	Remaining
0	21	4273
1	49	4919
2	93	6160
3	127	6260
4	154	6023
5	188	6080
6	227	6284
7	247	5943
8	291	6185
9	333	6333
10	375	6444
11	421	6598
12	466	6711
13	491	6528
14	534	6592
15	582	6696
16	603	6499
17	623	6306
18	667	6360
19	705	6347
20	722	6161
21	746	6043
22	778	5988
23	816	5987
24	861	6032
25	879	5888
26	904	5798
27	930	5714
28	947	5588
29	986	5591
30	1030	5619
31	1072	5629
32	1128	5708
33	1171	5718
34	1218	5742
35	1243	5663
36	1287	5672
37	1328	5664
38	1370	5658
39	1410	5643
40	1443	5597
41	1481	5572
42	1521	5554
43	1562	5541
44	1598	5504
45	1638	5485
46	1682	5475
47	1710	5417
48	1755	5409
49	1776	5329
50	1819	5316
